Verkaufsb.;LFDAT;+KW;Debitor;Kunde;Name 1;Parcours;PLZ;Beleg;;ern.ausl.;Ret.klasse;Parkkennz.;Handling Unit;Typ;Platz;Spediteur;Name 1;Relation;Q;KartonAnz
587006;14.2026;;5011600002;;SB ZENTRALMARKT E.FRIEDHOFF;;33100;80606362;;;;;140046200042034321;020;K;70935;Hellmann Worldwide *71459*;32A;X;0
587006;14.2026;;5011600002;;SB ZENTRALMARKT E.FRIEDHOFF;;33100;80606362;;;;;140046200042034322;020;K;70935;Hellmann Worldwide *71459*;32A;X;0
587006;14.2026;;5011600002;;SB ZENTRALMARKT E.FRIEDHOFF;;33100;80606362;;;;;140046200042034323;020;K;70935;Hellmann Worldwide *71459*;32A;X;0
